title,genre,year,director
Taegukgi hwinalrimyeo,"Action, Drama, War",2004.0,Je-kyu Kang
Before Sunset,"Drama, Romance",2004.0,Richard Linklater
Munna Bhai M.B.B.S.,"Comedy, Drama, Musical",2003.0,Rajkumar Hirani
Salinui chueok,"Crime, Drama, Mystery",2003.0,Bong Joon Ho
Dil Chahta Hai,"Comedy, Drama, Romance",2001.0,Farhan Akhtar
Kill Bill: Vol. 1,"Action, Crime, Drama",2003.0,Quentin Tarantino
Finding Nemo,"Animation, Adventure, Comedy",2003.0,Andrew Stanton
Catch Me If You Can,"Biography, Crime, Drama",2002.0,Steven Spielberg
Amores perros,"Drama, Thriller",2000.0,Alejandro G. Iñárritu
"Monsters, Inc.","Animation, Adventure, Comedy",2001.0,Pete Docter
Lagaan: Once Upon a Time in India,"Adventure, Drama, Musical",2001.0,Ashutosh Gowariker
Fa yeung nin wah,"Drama, Romance",2000.0,Kar-Wai Wong
Badhaai ho,"Comedy, Drama",2018.0,Amit Ravindernath Sharma
Togo,"Adventure, Biography, Drama",2019.0,Ericson Core
Airlift,"Drama, History",2016.0,Raja Menon
Bajrangi Bhaijaan,"Action, Adventure, Comedy",2015.0,Kabir Khan
Baby,"Action, Crime, Thriller",2015.0,Neeraj Pandey
La La Land,"Comedy, Drama, Music",2016.0,Damien Chazelle
Lion,"Biography, Drama",2016.0,Garth Davis
The Martian,"Adventure, Drama, Sci-Fi",2015.0,Ridley Scott
Zootopia,"Animation, Adventure, Comedy",2016.0,Byron Howard
Bãhubali: The Beginning,"Action, Drama",2015.0,S.S. Rajamouli
Kaguyahime no monogatari,"Animation, Adventure, Drama",2013.0,Isao Takahata
Wonder,"Drama, Family",2017.0,Stephen Chbosky
Gully Boy,"Drama, Music, Romance",2019.0,Zoya Akhtar
Special Chabbis,"Crime, Drama, Thriller",2013.0,Neeraj Pandey
Short Term 12,Drama,2013.0,Destin Daniel Cretton
Serbuan maut 2: Berandal,"Action, Crime, Thriller",2014.0,Gareth Evans
The Imitation Game,"Biography, Drama, Thriller",2014.0,Morten Tyldum
Guardians of the Galaxy,"Action, Adventure, Comedy",2014.0,James Gunn
Blade Runner 2049,"Action, Drama, Mystery",2017.0,Denis Villeneuve
Her,"Drama, Romance, Sci-Fi",2013.0,Spike Jonze
Bohemian Rhapsody,"Biography, Drama, Music",2018.0,Bryan Singer
The Revenant,"Action, Adventure, Drama",2015.0,Alejandro G. Iñárritu
The Perks of Being a Wallflower,"Drama, Romance",2012.0,Stephen Chbosky
Tropa de Elite 2: O Inimigo Agora é Outro,"Action, Crime, Drama",2010.0,José Padilha
The King's Speech,"Biography, Drama, History",2010.0,Tom Hooper
The Help,Drama,2011.0,Tate Taylor
Deadpool,"Action, Adventure, Comedy",2016.0,Tim Miller
Darbareye Elly,"Drama, Mystery",2009.0,Asghar Farhadi
Dev.D,"Drama, Romance",2009.0,Anurag Kashyap
Yip Man,"Action, Biography, Drama",2008.0,Wilson Yip
My Name Is Khan,Drama,2010.0,Karan Johar
Nefes: Vatan Sagolsun,"Action, Drama, Thriller",2009.0,Levent Semerci
Slumdog Millionaire,"Drama, Romance",2008.0,Danny Boyle
Black Swan,"Drama, Thriller",2010.0,Darren Aronofsky
Tropa de Elite,"Action, Crime, Drama",2007.0,José Padilha
The Avengers,"Action, Adventure, Sci-Fi",2012.0,Joss Whedon
Persepolis,"Animation, Biography, Drama",2007.0,Vincent Paronnaud
Dallas Buyers Club,"Biography, Drama",2013.0,Jean-Marc Vallée
The Pursuit of Happyness,"Biography, Drama",2006.0,Gabriele Muccino
Blood Diamond,"Adventure, Drama, Thriller",2006.0,Edward Zwick
The Bourne Ultimatum,"Action, Mystery, Thriller",2007.0,Paul Greengrass
Bin-jip,"Crime, Drama, Romance",2004.0,Ki-duk Kim
Sin City,"Crime, Thriller",2005.0,Frank Miller
Le scaphandre et le papillon,"Biography, Drama",2007.0,Julian Schnabel
G.O.R.A.,"Adventure, Comedy, Sci-Fi",2004.0,Ömer Faruk Sorak
Ratatouille,"Animation, Adventure, Comedy",2007.0,Brad Bird
Casino Royale,"Action, Adventure, Thriller",2006.0,Martin Campbell
Kill Bill: Vol. 2,"Action, Crime, Thriller",2004.0,Quentin Tarantino
Vozvrashchenie,Drama,2003.0,Andrey Zvyagintsev
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,"Drama, Romance",2003.0,Ki-duk Kim
Mar adentro,"Biography, Drama",2014.0,Alejandro Amenábar
Cinderella Man,"Biography, Drama, History",2005.0,Ron Howard
Kal Ho Naa Ho,"Comedy, Drama, Musical",2003.0,Nikkhil Advani
Mou gaan dou,"Action, Crime, Drama",2002.0,Andrew Lau
Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy",2003.0,Gore Verbinski
Big Fish,"Adventure, Drama, Fantasy",2003.0,Tim Burton
The Incredibles,"Animation, Action, Adventure",2004.0,Brad Bird
Yeopgijeogin geunyeo,"Comedy, Drama, Romance",2001.0,Jae-young Kwak
Dogville,"Crime, Drama",2003.0,Lars von Trier
Vizontele,"Comedy, Drama",2001.0,Yilmaz Erdogan
